ФИО клиента,Дата рождения,Номер счета,Баланс счета,Валюта,идентификатор транзакции,Тип операции,сумма,Дата транзакции
Попова Варвара Наумовна,28.08.1950,39686008838265784029,"172195,07",USD,TXN-000216,пополнение,"2725,1",26.12.2024
Пелагея Аркадьевна Стрелкова,06.03.1935,57328281115283030437,"380882,68",RUB,TXN-000217,пополнение,"33650,86",22.06.2024
Шашкова Анжелика Николаевна,20.01.1958,85345273799296837262,"302511,57",RUB,TXN-000218,пополнение,"9303,32",06.07.2025
Субботин Флорентин Эдгардович,12.06.1990,59215494949426531803,"43343,04",RUB,TXN-000219,пополнение,"38000,06",07.08.2025
Буров Ян Владиславович,07.07.1951,14533313050950597113,"351056,29",RUB,TXN-000220,пополнение,"33235,25",04.08.2025
Лукин Вениамин Антипович,09.08.2007,59030314989272537570,"525195,44",RUB,TXN-000221,пополнение,"14375,89",08.08.2025
Селезнев Соломон Ефремович,06.08.1962,32230189148870087986,"51035,95",RUB,TXN-000222,пополнение,"10328,46",18.02.2025
Аполлон Феодосьевич Красильников,04.01.1974,48585148760366575923,"291817,85",USD,TXN-000223,пополнение,"2318,43",24.08.2023
Гедеон Федосьевич Калинин,13.06.1987,42844330682120561753,"235156,82",RUB,TXN-000224,пополнение,"43732,46",18.04.2022
Костин Митофан Эдуардович,25.10.1976,85751048734452419009,"7956,13",RUB,TXN-000225,списание,"16029,34",24.07.2023
Светлана Михайловна Васильева,17.09.1942,56530836610776721670,"324427,96",RUB,TXN-000226,пополнение,"9008,14",23.11.2024
Юлия Афанасьевна Киселева,05.04.1935,65010899861530041303,"169610,36",RUB,TXN-000227,пополнение,"6265,97",12.07.2025
Русаков Михаил Изотович,24.01.1979,49969426189905679819,"63301,92",RUB,TXN-000228,списание,"48826,83",06.05.2024
Иларион Тимурович Гордеев,16.11.1959,27053068335256992621,"274971,66",RUB,TXN-000229,пополнение,"1829,07",13.03.2025
г-жа Владимирова Жанна Егоровна,03.01.2002,75480454556376862274,"487658,87",RUB,TXN-000230,списание,"32979,2",18.05.2025
Павел Ануфриевич Дементьев,13.02.2007,11539222576339108178,"292907,53",EUR,TXN-000231,пополнение,"269,6",08.08.2025
Николаева Фаина Дмитриевна,27.05.1988,85964954857184690949,"230827,04",RUB,TXN-000232,пополнение,"19231,05",03.08.2025
Исаев Стоян Васильевич,13.05.1936,44167901934108031377,"250546,21",RUB,TXN-000233,списание,"39357,48",07.08.2025
Эдуард Харлампович Дементьев,02.06.1989,47933262294457950778,"489217,74",EUR,TXN-000234,списание,"584,63",17.10.2024
Мартынов Никифор Ефимович,01.09.2005,15619190708569692187,"507564,17",RUB,TXN-000235,пополнение,"18860,96",11.07.2025
Зиновьева Валерия Юльевна,02.06.1937,04985001820465044524,"300572,6",EUR,TXN-000236,пополнение,"396,64",09.08.2025
Беляков Карл Августович,27.03.2007,91291258862354152710,"382625,59",RUB,TXN-000237,пополнение,"31953,67",30.01.2025
Михайлов Болеслав Федосеевич,08.11.1943,69286010886924368178,"419593,89",RUB,TXN-000238,списание,"31906,38",21.07.2025
Михайлова Октябрина Харитоновна,19.02.1959,16375934869860732627,"47706,23",RUB,TXN-000239,пополнение,"23618,96",06.09.2022
Леонтий Вячеславович Морозов,21.09.1950,77651645977260069869,"185486,66",RUB,TXN-000240,пополнение,"43809,06",08.03.2025
Шашкова Анжелика Николаевна,20.01.1958,99512535090277357663,"68452,72",RUB,TXN-000241,списание,"4852,92",26.03.2023
Людмила Болеславовна Беспалова,22.03.1972,44135964820383194283,"508865,34",RUB,TXN-000242,пополнение,"49679,55",02.09.2022
Мартьян Фёдорович Кудряшов,11.09.1969,77537790336674678223,"117649,74",RUB,TXN-000243,пополнение,"8752,46",19.12.2024
Васильев Юрий Фомич,08.10.1942,77531184390625444002,"55775,45",RUB,TXN-000244,пополнение,"34030,59",13.03.2025
Селиверст Борисович Родионов,27.12.2006,97672345039464067637,"253116,47",RUB,TXN-000245,списание,"36194,18",15.06.2024
Клавдия Захаровна Васильева,30.09.1976,61023594373912577861,469026,RUB,TXN-000246,пополнение,"24724,65",30.06.2025
Кондратьева Фаина Матвеевна,11.10.1999,72811693978647315809,"111528,43",RUB,TXN-000247,пополнение,"12807,72",24.11.2023
Игорь Игнатьевич Кононов,14.01.1992,14956367057431550852,"344600,82",RUB,TXN-000248,пополнение,"28369,26",10.07.2025
Елисеев Архип Юльевич,28.01.1995,05378399503607954981,"94423,87",RUB,TXN-000249,пополнение,"2736,01",09.12.2022
Игнатьева Ксения Болеславовна,25.08.1969,16048661727296135848,"444175,03",RUB,TXN-000250,пополнение,"18532,62",04.03.2025
Анастасия Натановна Федотова,26.06.1988,21981178628248260336,"141616,09",RUB,TXN-000251,пополнение,"26397,68",05.07.2024
Буров Ян Владиславович,07.07.1951,60529691130286631352,"458573,78",RUB,TXN-000252,списание,"28626,78",24.05.2025
Лукин Вениамин Антипович,09.08.2007,71504690165291932671,"488542,46",RUB,TXN-000253,списание,"25436,83",10.05.2025
Субботин Флорентин Эдгардович,12.06.1990,53448015462291290446,"274822,68",EUR,TXN-000254,пополнение,"1953,68",20.04.2022
Лазарев Терентий Чеславович,05.07.1989,51783472429226669744,"377848,77",EUR,TXN-000255,списание,"3942,3",23.09.2022
Наркис Устинович Тихонов,18.04.1947,08664613621910455830,"130198,6",RUB,TXN-000256,пополнение,"4716,58",17.07.2025
Овчинников Филипп Чеславович,15.07.1998,79911451469976784493,"377977,23",RUB,TXN-000257,пополнение,"49992,48",30.09.2023
Конон Эдуардович Егоров,06.04.1956,92770917077135877681,"92038,6",EUR,TXN-000258,пополнение,"714,81",13.07.2025
Фёкла Ефимовна Шарапова,28.12.1982,91945831421091572881,"258419,5",RUB,TXN-000259,списание,"10544,37",26.04.2025
Зиновьева Юлия Даниловна,29.12.2003,75482938576120860233,"377394,55",USD,TXN-000260,пополнение,"16,33",15.03.2025
Ксения Дмитриевна Шубина,15.12.1940,06991809580338445008,"103707,51",RUB,TXN-000261,пополнение,"13207,22",19.06.2025
Костина Феврония Кузьминична,09.08.1985,63681242797783447687,"247573,06",RUB,TXN-000262,списание,"13002,01",17.03.2025
Доронин Мариан Феофанович,31.07.2005,49355113086622022332,"287901,71",RUB,TXN-000263,пополнение,"39468,36",31.07.2025
Флорентин Филатович Суворов,02.04.2005,72132021758792464740,"361985,06",RUB,TXN-000264,пополнение,"6253,59",25.08.2023
Эдуард Харлампович Дементьев,02.06.1989,47933262294457950778,"485199,92",EUR,TXN-000265,списание,"4017,82",04.04.2025
Светлана Михайловна Васильева,17.09.1942,33250518160647396543,"76612,74",RUB,TXN-000266,пополнение,"28330,53",01.06.2022
Стоян Аверьянович Белоусов,24.07.1952,94084535724116999534,"256479,61",RUB,TXN-000267,пополнение,"39942,83",26.05.2025
Денис Димитриевич Лазарев,01.02.1983,27237050073096440958,"256737,37",RUB,TXN-000268,пополнение,"40487,54",17.12.2023
Николаева Фаина Дмитриевна,27.05.1988,85964954857184690949,"280125,16",RUB,TXN-000269,пополнение,"49298,12",07.08.2025
Ольга Ильинична Гаврилова,12.11.1995,49978494142694702284,"306061,54",USD,TXN-000270,пополнение,"2471,47",15.07.2025
Нифонт Давидович Абрамов,14.06.1936,51557678529204388493,"134392,28",RUB,TXN-000271,пополнение,"8807,47",22.09.2024
Милица Альбертовна Федорова,30.12.1952,42527838626025362085,"23151,56",RUB,TXN-000272,списание,"32246,23",13.03.2022
Аверкий Елизарович Самойлов,07.03.2007,21506696903684169065,"202280,72",RUB,TXN-000273,пополнение,"10854,09",07.07.2023
Михаил Валерьянович Ковалев,13.09.2005,41582002942872856331,"189358,1",RUB,TXN-000274,пополнение,"37051,43",25.04.2024
Костина Феврония Кузьминична,09.08.1985,93357745387990187270,"192495,41",USD,TXN-000275,пополнение,"842,27",14.12.2024
Элеонора Альбертовна Якушева,13.06.1942,13194609969557752414,"10898,5",RUB,TXN-000276,пополнение,"4662,17",19.04.2023
Селиверст Борисович Родионов,27.12.2006,97672345039464067637,"261897,94",RUB,TXN-000277,пополнение,"8781,47",21.12.2024
Надежда Владиславовна Самсонова,08.03.1992,80045526897574793979,"135544,44",RUB,TXN-000278,пополнение,"20076,46",16.02.2023
г-н Мамонтов Бронислав Викторович,28.07.2003,18855750361877631254,"374622,92",RUB,TXN-000279,пополнение,"33208,17",19.07.2024
Дарья Ивановна Дроздова,24.03.1963,78945063142576271983,"12506,77",RUB,TXN-000280,пополнение,"6112,04",04.12.2024
Светлана Михайловна Васильева,17.09.1942,33250518160647396543,"86222,48",RUB,TXN-000281,пополнение,"9609,74",01.12.2023
Лукин Вениамин Антипович,09.08.2007,71504690165291932671,"531733,94",RUB,TXN-000282,пополнение,"43191,48",01.06.2025
Раиса Архиповна Суханова,24.01.2004,32906913857165860792,"185664,94",RUB,TXN-000283,пополнение,"31947,4",25.06.2025
Петр Фадеевич Петров,17.02.2005,99707859455831819817,"97321,57",RUB,TXN-000284,пополнение,"33254,75",04.08.2025
Аполлон Феодосьевич Красильников,04.01.1974,50660851436704202567,"399223,31",RUB,TXN-000285,списание,"48084,48",29.11.2021
Клавдия Аркадьевна Бурова,27.11.1977,38502180887707926009,"390807,39",RUB,TXN-000286,пополнение,"18291,86",06.07.2024
Ермаков Парамон Феоктистович,17.10.1977,95985837319843106517,"247505,9",RUB,TXN-000287,списание,"27106,07",07.05.2023
Аверкий Исидорович Ершов,22.01.1978,46494969622925522776,"101700,59",USD,TXN-000288,пополнение,"3813,32",11.01.2025
Элеонора Альбертовна Якушева,13.06.1942,94568546041364512615,"114246,86",USD,TXN-000289,пополнение,"2227,76",07.06.2025
Михаил Валерьянович Ковалев,13.09.2005,99524700644080498375,"228421,43",USD,TXN-000290,списание,"2166,26",15.06.2025
Александров Вячеслав Давыдович,07.10.2000,98996069459646827161,"373263,3",USD,TXN-000291,пополнение,"1521,7",11.07.2025
Ия Аркадьевна Одинцова,21.05.1977,06140210640542698881,"190890,76",RUB,TXN-000292,пополнение,"47589,95",01.06.2025
Суханова Евпраксия Львовна,20.07.1945,48323452134327931103,"415057,7",USD,TXN-000293,пополнение,"1476,03",04.07.2024
Овчинникова Алевтина Робертовна,06.05.1975,55101310675352791405,"357901,67",RUB,TXN-000294,пополнение,"36255,44",22.02.2025
Прохорова Александра Николаевна,25.10.1972,41322151774963019930,"244725,85",RUB,TXN-000295,списание,"22188,48",04.05.2025
Элеонора Альбертовна Якушева,13.06.1942,94568546041364512615,"115073,31",USD,TXN-000296,пополнение,"826,45",07.07.2025
Флорентин Филатович Суворов,02.04.2005,72132021758792464740,"380856,96",RUB,TXN-000297,пополнение,"18871,9",12.03.2024
Светлана Валериевна Терентьева,03.12.1993,03682666151592151412,"499069,52",RUB,TXN-000298,пополнение,"30094,45",17.02.2023
Фёкла Ефимовна Шарапова,28.12.1982,48579726695618990022,"188892,71",RUB,TXN-000299,списание,"24244,11",19.09.2023
Сорокина Алевтина Вениаминовна,08.09.1981,49619732971229051015,"261779,44",RUB,TXN-000300,пополнение,"46677,32",24.09.2024
Дарья Ивановна Дроздова,24.03.1963,60581294830354035993,"399628,91",RUB,TXN-000301,пополнение,"32421,23",13.10.2022
Исаев Стоян Васильевич,13.05.1936,45877700748187830041,"518367,22",RUB,TXN-000302,пополнение,"35416,89",27.05.2025
Мишина Ирина Николаевна,24.04.2004,35272125170619511971,"186676,55",RUB,TXN-000303,пополнение,"18035,25",31.07.2025
Пелагея Аркадьевна Стрелкова,06.03.1935,92236380761708816926,"346171,32",RUB,TXN-000304,пополнение,"15839,28",29.04.2025
Пелагея Аркадьевна Стрелкова,06.03.1935,57328281115283030437,"368932,13",RUB,TXN-000305,списание,"11950,55",26.04.2025
Дементьева Нинель Анатольевна,28.01.2002,35469634233294463385,"146981,9",RUB,TXN-000306,списание,"26950,92",18.08.2023
Устинов Мартьян Артемьевич,11.08.1945,09543205179469171304,"7995,32",RUB,TXN-000307,пополнение,"4810,43",19.03.2024
Александров Вячеслав Давыдович,07.10.2000,25124009860727406455,"525124,42",RUB,TXN-000308,списание,"45025,58",13.01.2025
Петухова Ульяна Вениаминовна,19.01.1958,46293989901421092000,"212033,47",RUB,TXN-000309,пополнение,"32297,36",18.06.2025
Элеонора Альбертовна Якушева,13.06.1942,94568546041364512615,"110945,32",USD,TXN-000310,списание,"4127,99",28.07.2025
Субботин Флорентин Эдгардович,12.06.1990,53448015462291290446,"279722,91",EUR,TXN-000311,пополнение,"4900,23",24.06.2024
Аполлон Феодосьевич Красильников,04.01.1974,50660851436704202567,"449190,19",RUB,TXN-000312,пополнение,"49966,88",29.10.2022
Прохорова Прасковья Руслановна,24.12.1998,77665585114312675407,"318830,86",RUB,TXN-000313,пополнение,"1972,68",22.06.2025
Селезнев Соломон Ефремович,06.08.1962,32230189148870087986,"28641,44",RUB,TXN-000314,списание,"22394,51",25.07.2025
Михайлова Октябрина Харитоновна,19.02.1959,16375934869860732627,"70670,65",RUB,TXN-000315,пополнение,"22964,42",06.01.2025
Назаров Эмиль Димитриевич,01.04.1939,14560637358437832741,"878,82",RUB,TXN-000316,списание,"45310,35",18.06.2025
Беляков Карл Августович,27.03.2007,91291258862354152710,"405453,32",RUB,TXN-000317,пополнение,"22827,73",11.05.2025
Баранов Творимир Терентьевич,17.12.1988,28618381934190690729,"305701,99",RUB,TXN-000318,списание,"31642,91",04.08.2023
Юлия Афанасьевна Киселева,05.04.1935,65010899861530041303,"211137,48",RUB,TXN-000319,пополнение,"41527,12",02.08.2025
Мишина Ирина Николаевна,24.04.2004,66203840477480321768,"362823,12",USD,TXN-000320,пополнение,"971,53",08.06.2025
Регина Вениаминовна Белозерова,23.10.1982,19575335378033152643,"153039,42",RUB,TXN-000321,списание,"10546,49",27.05.2024
Суханова Евпраксия Львовна,20.07.1945,69667099733356507965,"456118,1",RUB,TXN-000322,пополнение,"47393,7",02.03.2025
Мишина Ирина Николаевна,24.04.2004,35272125170619511971,"188165,82",RUB,TXN-000323,пополнение,"1489,27",02.08.2025
Владилен Гавриилович Шашков,30.03.1957,61757006724064778602,"37870,06",USD,TXN-000324,списание,"3667,06",02.08.2025
Буров Ян Владиславович,07.07.1951,60529691130286631352,"445194,99",RUB,TXN-000325,списание,"13378,79",28.06.2025
Людмила Болеславовна Беспалова,22.03.1972,81847152947904231821,"379162,64",RUB,TXN-000326,пополнение,"4498,3",19.09.2023
Комиссаров Ферапонт Алексеевич,22.10.1946,08718685539916451493,"189653,1",RUB,TXN-000327,списание,"34700,7",12.12.2022
Конон Эдуардович Егоров,06.04.1956,59893792274290284916,"467368,51",RUB,TXN-000328,пополнение,"24959,65",02.04.2025
Олег Изотович Калашников,13.03.1942,29757648351119611862,"542210,29",RUB,TXN-000329,пополнение,"45945,49",15.08.2024
Ксения Матвеевна Симонова,11.12.1974,29277170572708849356,"437328,35",USD,TXN-000330,списание,"1025,52",22.07.2025
Волкова Марфа Богдановна,17.10.1963,74376103712002420079,"87767,75",RUB,TXN-000331,списание,"33050,76",23.07.2025
Савина Дарья Феликсовна,04.10.1981,62213700440504845701,"290123,93",RUB,TXN-000332,пополнение,"15032,5",10.08.2025
Эдуард Харлампович Дементьев,02.06.1989,47933262294457950778,"486967,55",EUR,TXN-000333,пополнение,"1767,63",23.07.2025
Евсеева Пелагея Ниловна,16.01.1983,17181867165363196714,"69153,69",RUB,TXN-000334,пополнение,"21297,23",17.03.2023
Степанов Лучезар Яковлевич,27.05.1949,33356143265645461455,"92526,26",RUB,TXN-000335,списание,"38120,53",06.05.2023
Регина Вениаминовна Белозерова,23.10.1982,19575335378033152643,"197422,76",RUB,TXN-000336,пополнение,"44383,34",16.10.2024
Костина Феврония Кузьминична,09.08.1985,63681242797783447687,"260760,55",RUB,TXN-000337,пополнение,"13187,49",30.03.2025
Павел Ануфриевич Дементьев,13.02.2007,11539222576339108178,"296560,88",EUR,TXN-000338,пополнение,"3653,35",10.08.2025
София Вадимовна Муравьева,05.02.2006,91550671785488028133,"440205,18",RUB,TXN-000339,списание,"13487,53",28.03.2023
Игнатьева Ксения Болеславовна,25.08.1969,06345408189185855172,"40960,4",RUB,TXN-000340,списание,"47069,82",12.05.2024
Сила Ильясович Кондратьев,29.10.1958,95778719091129610582,"509215,82",RUB,TXN-000341,пополнение,"3869,11",22.07.2025
Анжелика Владиславовна Стрелкова,27.03.2006,07411580587527808553,"201342,19",RUB,TXN-000342,пополнение,"27679,92",29.08.2023
Емельянова Елизавета Константиновна,04.07.1985,41554564073895022935,251056,RUB,TXN-000343,списание,"43721,03",21.02.2025
Ксения Ждановна Ларионова,04.08.1939,38951611025786354700,"377772,51",RUB,TXN-000344,списание,"12694,85",20.05.2024
Комарова Милица Ждановна,02.12.1985,59695021572977475486,"245245,97",USD,TXN-000345,пополнение,"2980,43",22.04.2024
Константинова Синклитикия Геннадьевна,15.02.1936,15500929923189665257,"307936,04",RUB,TXN-000346,списание,"31156,56",10.07.2025
Ксения Дмитриевна Шубина,15.12.1940,25352384691482853675,"257696,12",RUB,TXN-000347,пополнение,"27629,23",05.06.2025
Иванна Егоровна Федорова,06.08.1990,10989885709307023759,"385042,33",RUB,TXN-000348,пополнение,"4824,58",08.10.2024
Евгения Александровна Филатова,18.11.1952,38520382863294428343,"463508,1",RUB,TXN-000349,списание,"9642,98",24.01.2025
Овчинникова Алевтина Робертовна,06.05.1975,81651764468885952063,"163753,06",RUB,TXN-000350,пополнение,"2150,01",01.12.2024
Ольга Ильинична Гаврилова,12.11.1995,80143986560071986500,"341173,13",RUB,TXN-000351,пополнение,"34335,95",12.11.2023
Фёкла Ефимовна Шарапова,28.12.1982,48579726695618990022,"164503,83",RUB,TXN-000352,списание,"24388,88",04.06.2024
Комаров Гремислав Адамович,18.04.1967,60449356805627484893,"393642,18",USD,TXN-000353,пополнение,"362,04",04.09.2022
Константинова Синклитикия Геннадьевна,15.02.1936,65854960628584636067,"426316,54",USD,TXN-000354,списание,"3293,17",14.07.2025
Исаев Стоян Васильевич,13.05.1936,44167901934108031377,"298996,54",RUB,TXN-000355,пополнение,"48450,33",08.08.2025
Овчинникова Алевтина Робертовна,06.05.1975,55101310675352791405,"395614,7",RUB,TXN-000356,пополнение,"37713,03",15.07.2025
г-н Мамонтов Бронислав Викторович,28.07.2003,05724096908769644407,"407213,93",RUB,TXN-000357,пополнение,"26456,07",17.08.2024
Михайлов Болеслав Федосеевич,08.11.1943,84935729033082457525,"35539,27",RUB,TXN-000358,списание,"31530,63",13.02.2025
Лазарева Светлана Викторовна,13.06.1946,25862218248712175587,"489096,65",RUB,TXN-000359,пополнение,"601,34",29.03.2025
Наркис Устинович Тихонов,18.04.1947,08664613621910455830,143697,RUB,TXN-000360,пополнение,"13498,4",03.08.2025
Зыкова Алина Алексеевна,09.10.1952,26906400082498587708,"440719,51",RUB,TXN-000361,пополнение,"21276,16",05.04.2025
Константинова Синклитикия Геннадьевна,15.02.1936,65854960628584636067,"426654,87",USD,TXN-000362,пополнение,"338,33",22.07.2025
Глафира Станиславовна Галкина,03.05.1997,66031113031427300928,"523925,35",RUB,TXN-000363,пополнение,"22240,7",02.06.2025
Костина Феврония Кузьминична,09.08.1985,63681242797783447687,"262149,91",RUB,TXN-000364,пополнение,"1389,36",02.04.2025
Денис Димитриевич Лазарев,01.02.1983,27237050073096440958,"304888,97",RUB,TXN-000365,пополнение,"48151,6",01.05.2025
Аполлон Феодосьевич Красильников,04.01.1974,50660851436704202567,"407118,94",RUB,TXN-000366,списание,"42071,25",01.04.2023
Пелагея Аркадьевна Стрелкова,06.03.1935,57328281115283030437,"383341,8",RUB,TXN-000367,пополнение,"14409,67",21.05.2025
Лидия Александровна Моисеева,09.05.1952,41391170647064369100,"169505,23",RUB,TXN-000368,списание,"42740,32",11.05.2025
Шашкова Анжелика Николаевна,20.01.1958,99512535090277357663,"107616,87",RUB,TXN-000369,пополнение,"39164,15",09.04.2025
Михаил Валерьянович Ковалев,13.09.2005,41582002942872856331,163885,RUB,TXN-000370,списание,"25473,1",21.01.2025
Денис Димитриевич Лазарев,01.02.1983,80742668620727740969,"443343,09",RUB,TXN-000371,пополнение,"37387,08",19.02.2025
Мартынов Никифор Ефимович,01.09.2005,15619190708569692187,"544451,41",RUB,TXN-000372,пополнение,"36887,24",11.07.2025
Нифонт Давидович Абрамов,14.06.1936,63870045289536785574,"174986,03",RUB,TXN-000373,пополнение,"39647,73",02.08.2025
Борисов Андрон Чеславович,02.04.2001,33072611652895995039,"448369,13",RUB,TXN-000374,пополнение,"45396,76",30.11.2024
Филатов Ферапонт Трофимович,08.03.1990,76021444342048832017,"459624,61",RUB,TXN-000375,списание,"18331,81",17.11.2024
Васильев Юрий Фомич,08.10.1942,73692599804370853844,"238518,82",RUB,TXN-000376,списание,"11706,93",22.05.2023
Конон Эдуардович Егоров,06.04.1956,92770917077135877681,"91983,2",EUR,TXN-000377,списание,"55,4",05.08.2025
Анжелика Владиславовна Стрелкова,27.03.2006,10100803956156991196,"292110,8",RUB,TXN-000378,списание,"43411,54",12.07.2022
Лазарев Терентий Чеславович,05.07.1989,69013341301099336988,"150875,17",RUB,TXN-000379,пополнение,"35756,66",28.12.2023
Сафонова Варвара Харитоновна,06.02.1983,42471587776751170553,"406815,2",RUB,TXN-000380,списание,"27991,77",15.07.2025
Милен Харитонович Ермаков,24.04.1937,63373542918980927544,"317738,36",EUR,TXN-000381,пополнение,"2479,18",25.10.2023
Юдин Ратмир Ефстафьевич,04.07.1935,50151944555192570015,"129630,63",RUB,TXN-000382,пополнение,"33631,61",27.03.2025
Наркис Устинович Тихонов,18.04.1947,08664613621910455830,"165856,1",RUB,TXN-000383,пополнение,"22159,1",04.08.2025
Комиссаров Ферапонт Алексеевич,22.10.1946,08718685539916451493,"191045,31",RUB,TXN-000384,пополнение,"1392,21",04.03.2023
Рожкова Виктория Евгеньевна,17.04.1951,01421333326843114699,"168027,58",RUB,TXN-000385,пополнение,"2741,5",04.08.2025
Баранова Анна Олеговна,26.03.1994,95263842112131981850,"547963,56",RUB,TXN-000386,пополнение,"44082,38",30.07.2025
г-н Мамонтов Бронислав Викторович,28.07.2003,05724096908769644407,"416486,19",RUB,TXN-000387,пополнение,"9272,26",18.05.2025
Виктория Романовна Суворова,08.04.1963,62586253289101690568,"504060,19",RUB,TXN-000388,пополнение,"34880,95",23.07.2025
Дарья Ивановна Дроздова,24.03.1963,60581294830354035993,"416752,26",RUB,TXN-000389,пополнение,"17123,35",02.04.2024
Зиновьева Юлия Даниловна,29.12.2003,79848126655195321041,"490572,5",RUB,TXN-000390,пополнение,"392,65",05.08.2025
Евсеев Арефий Адамович,21.11.1948,68996098323391090719,"287851,79",RUB,TXN-000391,пополнение,"31877,39",23.05.2025
Ксения Ждановна Ларионова,04.08.1939,38951611025786354700,"331762,61",RUB,TXN-000392,списание,"46009,9",25.05.2024
Лидия Александровна Моисеева,09.05.1952,41391170647064369100,"144303,35",RUB,TXN-000393,списание,"25201,88",25.06.2025
Комарова Милица Ждановна,02.12.1985,39437395145416376680,"325619,22",RUB,TXN-000394,списание,"37004,21",08.08.2024
Филатов Ферапонт Трофимович,08.03.1990,76021444342048832017,"481563,16",RUB,TXN-000395,пополнение,"21938,55",12.07.2025
Ольга Ильинична Гаврилова,12.11.1995,80143986560071986500,"343725,63",RUB,TXN-000396,пополнение,"2552,5",03.03.2024
Глеб Георгиевич Жуков,14.08.1944,14532615353338622553,"454456,71",RUB,TXN-000397,пополнение,"17876,87",09.08.2025
Кондратьева Фаина Матвеевна,11.10.1999,98924773003575881901,"34322,26",RUB,TXN-000398,пополнение,"30850,41",14.04.2025
Анастасия Натановна Федотова,26.06.1988,53228584174138331516,"122322,62",RUB,TXN-000399,пополнение,"45462,22",31.10.2024
Пелагея Аркадьевна Стрелкова,06.03.1935,57328281115283030437,"429387,55",RUB,TXN-000400,пополнение,"46045,75",15.06.2025
Светлана Валериевна Терентьева,03.12.1993,03682666151592151412,"528929,56",RUB,TXN-000401,пополнение,"29860,04",02.05.2023
Конон Эдуардович Егоров,06.04.1956,92770917077135877681,"94362,06",EUR,TXN-000402,пополнение,"2378,86",09.08.2025
Савельев Фока Елизарович,22.09.1958,21249589365197667007,"64232,31",RUB,TXN-000403,списание,"9848,41",17.12.2024
Зиновьева Юлия Даниловна,29.12.2003,97306037155849349479,"149047,48",RUB,TXN-000404,списание,"12465,84",24.09.2023
Субботин Флорентин Эдгардович,12.06.1990,59215494949426531803,"69911,21",RUB,TXN-000405,пополнение,"26568,17",07.08.2025
Ия Аркадьевна Одинцова,21.05.1977,12956806723959637403,"117934,66",RUB,TXN-000406,пополнение,"21192,86",18.02.2023
Аполлинарий Германович Некрасов,04.11.1993,12663445814239570976,"426400,35",RUB,TXN-000407,пополнение,"26272,58",09.12.2024
Алевтина Вячеславовна Орлова,01.07.1964,17611854958699831738,"264433,06",RUB,TXN-000408,списание,"38381,82",07.08.2024
г-жа Владимирова Жанна Егоровна,03.01.2002,03839281351770298453,"332283,68",RUB,TXN-000409,пополнение,"3648,42",09.06.2025
Петухова Ульяна Вениаминовна,19.01.1958,46293989901421092000,"247039,91",RUB,TXN-000410,пополнение,"35006,44",02.07.2025
Мишина Ирина Николаевна,24.04.2004,24615525994187278221,"335255,73",RUB,TXN-000411,списание,"27511,39",18.07.2025
Мишина Ирина Николаевна,24.04.2004,35272125170619511971,"220170,62",RUB,TXN-000412,пополнение,"32004,8",03.08.2025
Кондратьева Фаина Матвеевна,11.10.1999,98924773003575881901,"64845,74",RUB,TXN-000413,пополнение,"30523,48",19.06.2025
Костин Митофан Эдуардович,25.10.1976,56689401348024232307,"103631,34",RUB,TXN-000414,пополнение,"22545,22",25.10.2023
Шашкова Анжелика Николаевна,20.01.1958,24447885583530695866,"160670,97",RUB,TXN-000415,пополнение,"30138,87",01.08.2025
Терентий Федотович Авдеев,21.05.2001,91033053000797167796,"2406,77",RUB,TXN-000416,списание,"1804,4",21.07.2025
Костина Феврония Кузьминична,09.08.1985,63681242797783447687,"252591,09",RUB,TXN-000417,списание,"9558,82",18.07.2025
Александров Вячеслав Давыдович,07.10.2000,98996069459646827161,"372810,32",USD,TXN-000418,списание,"452,98",31.07.2025
Парамон Фадеевич Прохоров,24.07.2001,86207568409642800025,"43618,44",RUB,TXN-000419,пополнение,"8998,74",08.08.2025
Суханова Евпраксия Львовна,20.07.1945,48323452134327931103,"416321,15",USD,TXN-000420,пополнение,"1263,45",30.12.2024
Анастасия Натановна Федотова,26.06.1988,53228584174138331516,"137201,84",RUB,TXN-000421,пополнение,"14879,22",13.01.2025
Михаил Валерьянович Ковалев,13.09.2005,41582002942872856331,"204322,06",RUB,TXN-000422,пополнение,"40437,06",03.03.2025
Михайлов Болеслав Федосеевич,08.11.1943,84935729033082457525,"10468,75",RUB,TXN-000423,списание,"25070,52",26.05.2025
Прохорова Александра Николаевна,25.10.1972,41322151774963019930,"284381,21",RUB,TXN-000424,пополнение,"39655,36",07.08.2025
Овчинников Филипп Чеславович,15.07.1998,79911451469976784493,"365584,45",RUB,TXN-000425,списание,"12392,78",25.01.2024
Русаков Михаил Изотович,24.01.1979,49969426189905679819,"34692,4",RUB,TXN-000426,списание,"28609,52",07.08.2024
Тетерин Гедеон Димитриевич,09.07.1996,16380657400895940552,"140509,55",RUB,TXN-000427,пополнение,"12734,74",12.02.2025
Надежда Владиславовна Самсонова,08.03.1992,78602808705459454432,"387440,65",RUB,TXN-000428,пополнение,"13125,32",07.07.2024
Сидоров Фока Архипович,14.05.1990,31135692295217402973,"453881,12",RUB,TXN-000429,списание,"15537,49",23.01.2025
Капитон Филатович Гущин,09.11.1959,24045722983361752847,"127993,88",EUR,TXN-000430,пополнение,"2010,4",02.08.2023
